1.Name of text: TaleOfTwoCities_clean.txt
  Total Non-blank Character Count: 616151
  Total Blank Character Count: 123425
  Total Character Count: 739576
  Percentage Blank Character: 16.69% 
  Total Word Count: 135597
  Word/Count Dictionary: 
  Necessarily : 1
  displeasure : 2
  fresher : 1
  advocate : 1
  Advocate : 1
  thy : 2
  hast : 1
  thou : 4
  assignation : 1
  Revolution-fever : 1
  Citizen-Doctor : 1
  inarticulately : 1
  Physician : 1
  drives : 1
  hunger-worn : 1
  work-worn : 1
  Plots : 1
  widely : 1
  girlish : 1
  discovery; : 1
  thrilled : 1
  motion; : 1
  standing; : 1
  Follow : 1
  Several : 2
  divined : 1
  Sounds : 1
  Breathing : 1
  passages: : 1
  clashed : 1
  Keys : 1
  denote : 1
  Straining : 1
  Lift : 1
  lottery : 1
  restorative : 1
  vow : 1
  foot; : 1
  stamping : 2
  betray : 1
  tale : 1
  Enter : 1
  combed : 1
  Quickly : 1
  nostrils : 1
  trailing : 1
  otherwise--' : 1
  watchfully : 1
  otherwise;' : 2
  breast--looked : 1
  Carton--his : 1
  rally : 1
  faculties : 1
  impaired : 1
  Hurry : 2
  nothing; : 1
  Vapour : 1
  writer's : 1
  writer : 1
  grief' : 1
  dictated : 1
  on; : 2
  'forget : 1
  chancing : 1
  dictating : 1
  remember' : 1
  'If : 2
  Write : 2
  Pressing : 1
  dictate : 1
  Steady : 1
  bitterness : 1
  supernatural : 1
  escape; : 1
  Draw : 1
  barefoot : 1
  it--take : 1
  means; : 1
  pathetic : 1
  her--your : 1
  keepers : 1
  mind--a : 1
  not--the : 1
  imagining : 1
  lip : 1
  cautionary : 1
  Lose : 1
  English: : 1
  self-possession : 1
  Devoutly : 1
  strengthen : 2
  inasmuch : 1
  apprised : 1
  Twelve : 1
  strife : 1
  contest : 1
  referred; : 1
  disproportionate : 1
  gigantically : 1
  besetting : 1
  fear: : 1
  countless : 1
  obtruded : 1
  nowise : 1
  last: : 1
  dyed : 1
  heroism : 1
  fifty-two : 3
  forgetfulness : 1
  house) : 1
  Free : 1
  sentences : 1
  retrospect : 1
  strain; : 1
  overcoming : 1
  grateful : 2
  sakes : 1
  uniformly : 1
  justly : 1
  impressing : 1
  console : 1
  needless--to : 1
  her--though : 1
  relics : 1
  good) : 1
  oblivious : 1
  betrothal : 1
  now--that : 1
  condition--fully : 1
  uncle's : 1
  calmed : 1
  fortitude : 1
  ones : 1
  enjoyable : 1
  stimulate : 1
  sprang : 2
  wrongfully : 1
  resigned : 1
  resignation : 1
  tighter : 1
  unclosed : 1
  loosen; : 1
  units : 1
  sentenced : 1
  virtually : 1
  condemnation : 2
  flattering : 1
  distinction : 1
  intolerable : 1
  degrees; : 1
  neglects : 1
  vices : 1
  Physical : 1
  seamstress : 3
  riches : 1
  seventy : 1
  farmer-general : 1
  appointed; : 1
  occupants : 1
  quit : 1
  everlasting : 1
  boundless : 1
  life-tide : 1
  Fifty-two : 3
  it--outwatched : 1
  heart--so : 1
  moaningly : 1
  tempt : 1
  arouse : 1
  bye : 1
  sacrificed : 2
  reason--and : 1
  it--for : 1
  to-morrow: : 1
  pledged : 1
  Promise : 1
  reserve : 2
