1.Name of text: WarAndPeace_clean.txt
  Total Non-blank Character Count: 2626774
  Total Blank Character Count: 511698
  Total Character Count: 3138472
  Percentage Blank Character: 16.30% 
  Total Word Count: 562492
  Word/Count Dictionary: 
  power--mere : 1
  violation : 2
  to--in : 1
  biographical : 1
  historians--those : 1
  delegated : 4
  destructions : 1
  conditionally : 4
  infringement : 1
  emergence : 1
  unconditionally : 2
  Confederation : 1
  international : 2
  part--transfer : 1
  revolutions--in : 1
  mutations : 1
  time--is : 1
  power-- : 1
  fire--namely : 1
  clear; : 1
  wields : 1
  elsewhere--in : 1
  differ : 1
  predominance : 1
  Hercules; : 1
  domination : 1
  one-- : 1
  destroyed; : 1
  things: : 1
  readers : 1
  currency : 1
  counters : 1
  evade : 1
  serviceable : 1
  tokens : 1
  Paper : 1
  specific : 1
  this--that : 1
  inquires: : 1
  tinge : 1
  Thiers' : 1
  circulate : 1
  biographies : 2
  circulation--paper : 1
  humanity's : 4
  professedly : 1
  compelling : 1
  Voltaires : 1
  Luthers : 1
  Alexanders : 1
  wheels; : 1
  locomotive; : 1
  incommensurate : 1
  commensurate : 2
  round; : 1
  refutes : 1
  refute : 1
  irrefutable : 4
  asserts : 1
  asks: : 1
  power--and : 1
  doctrines : 1
  approximate : 2
  tend : 1
  something) : 1
  intrinsic : 1
  history) : 1
  agriculturists : 1
  traders : 2
  gardening : 1
  handicraft : 1
  contemporaneously : 1
  Undoubtedly : 1
  nexus : 1
  causal : 1
  event; : 2
  occurred; : 1
  idea--is : 1
  force--the : 1
  newer : 1
  unanswered : 1
  idea--history's : 1
  filled--admitting : 1
  controls : 2
  progenitors : 1
  culture--in : 1
  events--again : 1
  culture-- : 1
  historians--the : 1
  weather: : 1
  Peasants : 1
  denied--and : 1
  A--the : 1
  resulted--that : 1
  interactions : 1
  rest--but : 1
  components: : 1
  decomposes : 1
  will--such : 1
  Specialist : 1
  components : 3
  composite : 1
  component : 2
  analysis : 3
  Schlosser : 1
  Gervinus : 2
  interaction : 2
  subjugation : 1
  resultant : 10
  specialist : 4
  Writers : 1
  trickery : 1
  Republican : 3
  Lanfrey : 1
  nationalities : 1
  narration : 2
  inherent : 3
  Biographical : 1
  self-evident : 1
  writers; : 1
  Louis-es : 3
  Napoleons : 2
  incomprehensible--is: : 1
  question--in : 1
  compilers : 1
  caricature : 1
  ironic--a : 1
  bequeathed : 1
  rock : 1
  lingering : 1
  Allied : 1
  France) : 1
  (especially : 1
  outlaw : 1
  Elba : 1
  abdicate : 1
  disturber : 1
  Africans : 1
  everywhere--that : 1
  genius--Napoleon : 1
  favorites : 1
  mistresses : 3
  listen: : 1
  Science : 1
  professing : 1
  enriched : 1
  migrated : 1
  untilled : 1
  twenty-year : 1
  subsides : 1
  west--Paris--and : 1
  counter : 1
  collides : 1
  spreads : 2
  Paris; : 1
  ferment : 2
  1789 : 3
  realm; : 1
  historians: : 1
  poets) : 1
  philosophers : 1
  reformers : 3
  includes : 1
  assumptions : 2
  Buckle : 2
  Gibbon : 1
  tending : 1
  beliefs : 1
  continent : 1
  portion : 1
  northwesterly : 1
  aims--the : 1
  postulated : 1
  divinely : 1
  journalists : 3
  capacities : 1
  Modern : 3
  Deity : 10
  elusive--the : 1
  EPILOGUE : 1
  SECOND : 1
  Plutarch's : 1
  Scaevola : 1
  Mucius : 1
  form) : 1
  (Though : 1
  Terror : 1
  formless : 1
  love: : 1
  Andrew--and : 1
  father-- : 1
  slacken : 1
  Vierge : 1
  fils : 1
  cobwebs : 1
  helmets : 1
  awaked : 1
  Petya: : 1
  milk's : 1
  peas--like : 1
  vindictively : 1
  Jealo : 1
  honeymoons : 1
  course- : 1
  now--you : 1
  seemliness : 1
  virtue' : 1
  banner--that : 1
  'Join : 1
  Lisa : 1
  Rousseau : 3
  bought--Sismondi : 1
  amusement--almost : 1
  agreeing : 1
  Nicholas: : 1
  Mitya's : 1
  knack : 1
  consecutive : 3
  escape--from : 1
  argumentatively : 1
  surest : 2
  premises : 1
  impossible--in : 1
  repurchasing : 1
  Tambov : 1
  overseer) : 1
  Mitrofanych : 1
  Elias : 1
  fancy--as : 1
  trance : 1
  fondest : 1
  own: : 1
  Christianity--and : 1
  view: : 1
  corrupted : 1
  there--what : 1
  tempts : 1
  repeats : 1
  me--Denisov : 1
  I--and : 1
  disputing--Pierre : 1
  untiring : 1
  pedantically : 1
  questioningly: : 1
  develops : 1
  unhappily : 1
  Mitya : 2
  entered: : 1
  'ticket' : 1
  ticket : 1
  hand: : 1
  naughty : 3
  Louise : 1
  boy) : 1
  (her : 1
  best--recollections : 1
  suppressing : 1
  inapt : 1
  hesitate : 1
  may--I : 1
  -be : 1
  government- : 1
  allegiance : 2
  coming: : 1
  prop : 1
  cornered : 1
  resourceful : 1
  vot'e : 1
  bunt : 1
  howwible : 1
  wotten : 1
  evewything : 1
  agwee : 1
  pwonounce : 1
  suppose; : 1
  uncle's : 1
  pens : 3
  forgotten--gazed : 1
  collar-- : 1
  soul) : 1
  Europe) : 1
  Tugendbund : 5
  Settlement : 1
  Pugachev : 2
  conservatives--a : 1
  discontentedly : 1
  widen : 1
  enticed : 1
  overstrained : 1
  Told : 1
  began) : 1
  Settlements; : 1
  drilling : 1
  harsher : 1
  quanti : 1
  tutti : 1
  everything--Magnitski : 1
  strangle : 1
  him--people : 1
  loi : 1
  ni : 1
  tolerate : 1
  lisping: : 1
  counteract : 1
  Schwa'tz : 1
  loose--he'd : 1
  bwethwen : 1
  Ecka'tshausen : 1
  wead : 1
  Kwudener : 1
  German--now : 1
  contemporary : 4
  samovar--and : 1
  Sonya--who : 1
  woolwork; : 1
  tante : 1
  followed: : 1
  arms--well : 1
  'three' : 1
  two' : 1
  there-- : 2
  Andrusha's : 1
  Makarovna : 3
  of) : 1
  Finished : 1
  sailed : 1
  too) : 1
  (everybody : 1
  tone; : 1
  Antonovna's : 1
  weally : 1
  Tatawinova : 2
  idiocy--Gossner : 1
  malcontent : 1
  garnering : 1
  unbuttoned; : 1
  Milka) : 1
  (daughter : 1
  presided : 1
  Conversation : 1
  Alexeevna : 2
  remember--yet : 1
  inopportune : 1
  countess--not : 1
  back--for : 1
  shepherdesses : 1
  bright- : 1
  workmanship : 1
  woman--yet : 1
  remark: : 1
