1.Name of text: LesMiserables_clean.txt
  Total Non-blank Character Count: 2629426
  Total Blank Character Count: 518230
  Total Character Count: 3147656
  Percentage Blank Character: 16.46% 
  Total Word Count: 562208
  Word/Count Dictionary: 
  regrettedest : 1
  didst : 9
  water-bucket : 1
  wax-tapers : 1
  diamonds; : 1
  dozens : 1
  lovest : 1
  forearm : 1
  intermittent; : 1
  failing; : 1
  fain : 1
  adjure : 1
  semi-swoon : 1
  writhes : 1
  accesses : 1
  Good-day : 1
  enchantments : 1
  nightingales; : 1
  'good-day' : 1
  redbreast : 1
  robin : 3
  'madame' : 1
  strawberries : 3
  sanded : 1
  azaleas : 1
  unmasking : 1
  cesspool--all : 1
  more--he : 1
  forgiveness : 2
  forth: : 1
  absent' : 1
  shawls : 1
  cashmere : 1
  shouldst : 1
  eternally' : 1
  angel' : 1
  reckons : 1
  again' : 1
  Imagine : 1
  sobs: : 1
  BEHIND : 1
  venerating : 1
  unconscious; : 1
  hackney-carriage : 1
  slave-dealer : 1
  Contact : 1
  York : 1
  content; : 1
  Struck : 1
  pocketing : 1
  rummager : 1
  justified : 1
  calumniator : 1
  lured : 1
  parleyed : 1
  inhabitant:--You : 1
  good-day : 1
  domiciled : 1
  completely; : 1
  exertions : 1
  assassin's : 1
  Greatly : 1
  nail: : 1
  pecked : 1
  motioned : 1
  comforts : 1
  unskilful : 1
  self-abnegation : 1
  expiated : 1
  shower-bath : 1
  assassin--those : 1
  Robber : 1
  authority: : 1
  cashier-clerk : 1
  statements; : 1
  backing : 1
  complaisant--but : 1
  proofs--writing : 1
  Police-agent-Ja-vert-was-found-drowned-un-der-a-boat-of-the-Pont-au-Change : 1
  measure: : 1
  Alexandrine : 1
  Prove : 1
  second: : 1
  first: : 1
  wheedling : 1
  inferior's : 1
  himself--by : 1
  Laffitte--I : 1
  orphans; : 1
  dowered : 1
  rehabilitated : 1
  intelligible : 1
  secret--the : 1
  rustler : 1
  another--to : 1
  debtors' : 1
  Colonel's : 1
  protested : 1
  well-armed : 1
  well-informed : 1
  revealer : 1
  revelation--and : 1
  wares : 1
  equivocal; : 1
  induction : 1
  clew : 1
  bullied : 1
  beardless : 1
  twang : 1
  beak; : 1
  bumps : 1
  sleight : 1
  brusquely: : 1
  rustler[69] : 1
  pot-house : 2
  flicked : 1
  beetle : 1
  bristles : 1
  porcupine : 1
  --Dier : 1
  Cheap : 1
  sale--I : 1
  glows : 1
  Rapid : 1
  laconicism : 1
  limitation : 1
  lapsed : 1
  Remark : 1
  commence : 1
  replying: : 1
  detail: : 1
  establish : 1
  loadstone : 1
  Self-interest--that's : 1
  proletarian : 1
  diplomat : 1
  marvellous; : 1
  cannibals : 1
  dangerous; : 1
  inhabitants--that : 1
  loopholes; : 1
  trap-doors : 1
  kept; : 1
  Joya : 3
  Panama : 1
  severe: : 1
  'Thenard : 1
  Chateaubriand's : 1
  ungracious : 1
  Dambray : 2
  Lordship : 1
  Bagration : 2
  newcomer's : 1
  pick-me-down-that : 1
  statesman's : 1
  elbows; : 1
  button-hole : 1
  debilitated; : 1
  peruke : 1
  ex-ambassador : 2
  stood: : 1
  trowsers : 1
  copy: : 2
  catalogue; : 1
  Castelcicala : 1
  Pitt : 1
  clients : 1
  adaptations : 1
  costumes : 1
  Changer's : 3
  Changer : 2
  somebody : 1
  roguery : 1
  green-room : 1
  knavery : 2
  worn; : 1
  categories; : 1
  specialties : 1
  tricked : 1
  Changer; : 1
  costumer : 2
  low-lived : 1
  personage's : 1
  spine : 1
  coachmen : 1
  announced: : 1
  entichamber : 1
  awate : 1
  abdicating : 1
  cohabit : 1
  baronne : 1
  honorabel : 1
  huseful : 1
  reciprocle : 1
  kindnesses : 1
  eccellence : 1
  ciences] : 1
  [academy : 1
  Thenard : 4
  Baron:--If : 1
  diligently : 1
  ink; : 1
  tint : 1
  Pommerci : 1
  superscription: : 1
  folded--the : 1
  coarsely : 1
  Coarse : 1
  WHITENING : 1
  SUCCEEDED : 1
  ONLY : 1
  INK : 1
  BOTTLE : 1
  alone] : 1
  [lamentable : 1
  Buckles : 1
  turpentine : 1
  shellac : 1
  gum : 1
  anvil : 1
  Imitations : 1
  Jet : 1
  jewellery : 4
  Norway : 2
  matter: : 1
  Thy : 3
  contemplations : 1
  tipped : 1
  coagulated : 1
  flows; : 1
  reproach; : 1
  sculptured : 1
  pendulous; : 1
  hollowing : 1
  summer--he : 1
  daylight--it : 1
  weaker : 1
  pulse; : 1
  CART : 1
  FAUCHELEVENT'S : 1
  LIFTED : 1
  HEAVY : 1
  PEN : 1
  unlocked : 1
  grumbled: : 1
  scraping : 1
  sovereignty: : 1
  marital : 1
  husband:--The : 1
  hand: : 1
  ladyfinger : 1
  to-morrow' : 1
  Trinity : 1
  drunk; : 1
  proves : 1
  June; : 2
  OIL : 1
  LAMP : 1
  FLICKERINGS : 1
  II--LAST : 1
  cooling : 1
  separations : 1
  journey--That : 1
  remembering : 1
  magnetism : 1
  secrets; : 1
  perform: : 1
  probe : 1
  employee : 1
  effacement : 1
  estranging : 1
  all-sufficient : 1
  INDULGENCE : 1
  UNHAPPY : 1
  I--PITY : 1
  DAWN : 1
  SUPREME : 1
  NINTH--SUPREME : 1
  times; : 2
  eye-lid; : 1
  dim; : 1
  use--His : 1
  overstep : 2
  Trois-Pavillons; : 1
  Saint-Louis; : 1
  eyeballs : 1
  Manteaux : 1
  Blancs : 1
  EXTINCTION : 1
  IV--ATTRACTION : 1
  evening--It : 1
  mistress' : 1
  Jean's : 2
  twinge : 1
  surmise : 1
  own--preferring : 1
  disinclined : 1
  mistook : 1
  Arme; : 1
  know' : 1
  thousand' : 1
  'Would : 1
  thirty' : 1
  Twenty-seven : 1
  'Cosette : 1
  --What : 1
  himself--It : 1
  fire--And : 1
  hearth--Hello : 1
  announce: : 1
  alleviated : 1
  Marius--that : 1
  praises : 1
  prolong : 1
  Wealth : 1
  query: : 1
  hazarded : 1
  hackney : 1
  Filles-du-Calvaire--Madame : 1
  ungrateful--And : 1
  Cosette:--We : 1
  springtide--Marius : 1
  minstrel : 1
  snapdragons : 1
  gillyflowers : 1
  garniture : 1
  jewelled : 1
  budding : 1
  afternoon--it : 1
  happinesses : 1
  sweet: : 1
  good-morning : 1
  GARDEN : 1
  RECALL : 1
  III--THEY : 1
  Jean--That : 1
  Jean--Ah : 1
  lengthening : 1
  suddenly: : 1
  soldering : 1
  staircase--all : 1
  crowds : 1
  wall-colored : 1
  habits: : 1
  air-bubble : 1
  re-appears; : 1
  onlooker : 1
  ebullitions; : 1
  rippling : 1
  Canaples : 1
  added:--Nothing : 1
  juxtaposition; : 1
  ninety-six : 1
  decree:--He's : 1
  direction: : 1
  satisfies : 1
  BACKWARDS : 1
  STEP : 1
  II--ANOTHER : 1
  Fi : 1
  copying : 1
  Hou : 1
  rosewood : 1
  cabinet-maker's : 1
  'you' : 1
  Plumet--living : 1
  here--there : 1
  good: : 1
  'Jean' : 1
  Jean' : 5
  recourse: : 1
  ugliest : 1
  Grandfathers : 1
  Offer : 1
  Attitude : 1
  adorably : 1
  low-ceiled : 1
  Persecution : 1
  pope's : 1
  servant: : 1
  CHAMBER : 1
  LOWER : 1
  5b8-1-decline] : 1
  Decline : 1
  TWILIGHT : 1
  EIGHTH--FADING : 1
  promise; : 2
  deeply; : 1
  Rightly : 1
  juncture : 1
  spattering : 1
  indissoluble : 1
  retro : 1
  Judgment; : 1
  vindicte : 1
  democrat : 1
  revolved : 1
  chrysalis : 3
  wretch: : 1
  All--is : 1
  educating : 1
  dignifying : 1
  Abel; : 1
  subterranean; : 1
  eternal; : 1
  man-precipice : 1
  exfoliated : 1
  girlhood : 1
  pairing : 1
  blemished : 1
  defiling : 1
  room-mates : 1
  sure; : 1
  vendetta : 1
  revenging : 1
  Troubled : 1
  lightening : 1
  confession--these : 1
  irrefragable : 2
  re-habilitation : 1
  withstood : 1
  deity : 1
  refrained : 1
  impelling : 1
  ensuing : 1
  invades : 1
  little--he : 1
  amends : 1
  admissions : 1
  admitted--it : 1
  demigod : 1
  consummated : 1
  turtledoves : 1
  CONTAIN : 1
  REVELATION : 1
  OBSCURITIES : 1
  waiting-room : 2
  disapprove : 1
  fore-finger : 1
  Fix : 1
  remitted : 1
  faithfully : 2
  familiarize : 1
  depths: : 1
  Silent : 1
  galleys' : 1
  world--it : 1
  grandpapa : 1
  adjusting : 1
  Smile : 1
  chimney-sweep : 1
  together--that : 1
  monseigneur : 1
  Ash-Wednesday; : 1
  garden--Birds : 1
  pierrots : 1
  curtsey : 1
  ecstasy: : 1
  ' : 1
  'Conscience : 1
  rose: : 1
  dignity: : 1
  disengaging : 1
  rot : 1
  forth; : 1
  therewith : 1
  equal; : 1
  intonation: : 1
  live; : 1
  Wantonly : 1
  Letters : 1
  dishonest : 1
  peasant; : 1
  rewards : 1
  voice--it : 1
  anguishes : 1
  night' : 1
  morning' : 1
  'good : 2
  drained : 2
  indignity : 1
  dreadful : 4
  locks; : 1
  horrible' : 1
  'How : 1
  ''ware' : 1
  silencing : 1
  succeeded; : 1
  not' : 1
  'Enter : 1
  arm-chair: : 1
  here' : 1
  jerked : 1
  Bouloy; : 1
  undo : 1
  convict' : 1
  Conclude : 1
  wantonly : 1
  avowal : 2
  dispersed; : 1
  incoherent : 1
  desiring : 2
  announcing : 1
  forestall : 1
  Register : 1
  Reassure : 1
  syllables: : 1
  articulating : 1
  flaw : 1
  forgery : 1
  Wholly : 1
  overleaped : 1
  other--Vancouver's : 1
  Cook : 1
  Voyages : 1
  him' : 2
  'Stretch : 2
  pursued: : 1
  paroxysms : 2
  orbits : 1
  disarray : 1
  chandeliers : 1
  head-dresses : 1
  emitting : 1
  written: : 1
  Better : 2
  feather-duster : 2
  napkin : 1
  congratulations : 1
  weddings : 1
  HEAVEN : 1
  EIGHTH : 1
  CIRCLE : 1
  SEVENTH : 1
  5b7-1-last-drop] : 1
  Cup : 1
  Drop : 1
  CUP : 1
  DRAUGHT : 1
  wallowed : 1
  un-nailed : 1
  nod : 1
  unbribable : 1
  consummate : 1
  alternatives : 1
